player_id,date,market_value_in_eur,current_club_name,current_club_id,player_club_domestic_competition_id
136401,2016-05-30,500000,Southend United,543,GB1
136581,2016-05-30,250000,Coventry City,2999,SC1
137150,2016-05-30,75000,Colchester United,873,GB1
137162,2016-05-30,900000,Columbus Crew SC,150,ES1
141349,2016-05-30,150000,Chesterfield FC,984,GB1
141704,2016-05-30,750000,Seattle Sounders FC,2414,DK1
141871,2016-05-30,250000,Sheffield United,2578,SC1
146509,2016-05-30,200000,Scunthorpe United,2964,
149614,2016-05-30,75000,Fleetwood Town,2759,SC1
151189,2016-05-30,750000,Wigan Athletic,306,NL1
151334,2016-05-30,150000,Sheffield United,987,SC1
153776,2016-05-30,300000,Bradford City,2759,SC1
158534,2016-05-30,400000,Wigan Athletic,1071,GB1
158697,2016-05-30,750000,Coventry City,987,SC1
158718,2016-05-30,175000,Gillingham FC,1039,GB1
160328,2016-05-30,100000,Coventry City,5817,DK1
163744,2016-05-30,250000,Coventry City,990,
164013,2016-05-30,750000,Chicago Fire,10492,BRA1
164389,2016-05-30,175000,Gillingham FC,2288,GB1
164785,2016-05-30,250000,Chesterfield FC,2759,SC1
168257,2016-05-30,50000,Rapid Bucharest ,1268,NL1
172143,2016-05-30,650000,Chicago Fire,1085,PO1
173832,2016-05-30,150000,Queens Park Rangers,1039,GB1
175996,2016-05-30,700000,Los Angeles Galaxy,8816,MLS1
177185,2016-05-30,250000,Newport County,2553,SC1
177952,2016-05-30,150000,Millwall FC,987,SC1
179308,2016-05-30,500000,Sporting Kansas City,336,PO1
180497,2016-05-30,175000,Peterborough United,370,SC1
181554,2016-05-30,75000,Peterborough United,653,GR1
184129,2016-05-30,100000,Shrewsbury Town,3054,
184397,2016-05-30,175000,Scunthorpe United,1003,GB1
184922,2016-05-30,500000,Montreal Impact,969,FR1
186031,2016-05-30,350000,Rapid Bucharest ,6418,GR1
186924,2016-05-30,200000,Fleetwood Town,987,SC1
187759,2016-05-30,600000,Philadelphia Union,3325,PO1
189032,2016-05-30,200000,Toronto FC,511,SC1
189475,2016-05-30,1250000,FC Dallas,1403,MEX1
191258,2016-05-30,100000,Peterborough United,2578,SC1
195214,2016-05-30,200000,SC Austria Lustenau,541,
195628,2016-05-30,450000,Peterborough United,1072,
195679,2016-05-30,100000,Gillingham FC,603,GB1
196693,2016-05-30,100000,Wigan Athletic,2759,SC1
196720,2016-05-30,100000,Port Vale FC,2999,SC1
198516,2016-05-30,250000,Peterborough United,78435,MLS1
198587,2016-05-30,75000,Port Vale FC,762,GB1
199522,2016-05-30,250000,Wigan Athletic,370,SC1
199527,2016-05-30,300000,Coventry City,762,GB1
200127,2016-05-30,200000,Oldham Athletic,3911,FR1
201576,2016-05-30,250000,Walsall FC,899,
201586,2016-05-30,100000,Bradford City,988,
203784,2016-05-30,150000,Gillingham FC,2759,SC1
207771,2016-05-30,500000,Swindon Town,1123,GB1
211085,2016-05-30,500000,Columbus Crew SC,369,DK1
213544,2016-05-30,350000,Coventry City,987,SC1
214023,2016-05-30,125000,Blackpool FC,289,GB1
218086,2016-05-30,250000,Portland Timbers,1003,GB1
220496,2016-05-30,100000,Crawley Town,3537,
221151,2016-05-30,250000,SC Austria Lustenau,3524,FR1
221561,2016-05-30,350000,Peterborough United,2578,SC1
222108,2016-05-30,100000,Crewe Alexandra,1241,SC1
223979,2016-05-30,400000,FC Liefering,23826,L1
225536,2016-05-30,400000,SKN St. Pölten,6890,TR1
226958,2016-05-30,150000,Chesterfield FC,7567,SER1
226965,2016-05-30,250000,Barnsley FC,180,GB1
226978,2016-05-30,250000,Swindon Town,2760,SC1
227231,2016-05-30,400000,New York City FC,2700,RU1
234807,2016-05-30,100000,Peterborough United,1053,DK1
235355,2016-05-30,350000,D.C. United,2440,MLS1
238468,2016-05-30,75000,Colchester United,511,SC1
238479,2016-05-30,50000,Crewe Alexandra,1519,SC1
239733,2016-05-30,400000,LASK,413,A1
239934,2016-05-30,250000,LASK,504,C1
241007,2016-05-30,250000,Chicago Fire,2375,TR1
243591,2016-05-30,100000,Swindon Town,2288,GB1
244040,2016-05-30,100000,Blackpool FC,31,GB1
245585,2016-05-30,750000,Wigan Athletic,985,GB1
245765,2016-05-30,250000,Blackpool FC,2759,SC1
248755,2016-05-30,75000,Swindon Town,2999,SC1
250426,2016-05-30,1000000,Coventry City,543,GB1
251829,2016-05-30,100000,Peterborough United,148,GB1
254290,2016-05-30,200000,FC Liefering,443,DK1
264848,2016-05-30,200000,Coventry City,990,
265916,2016-05-30,800000,Montreal Impact,141,TR1
266775,2016-05-30,800000,New York City FC,6418,GR1
268119,2016-05-30,125000,Rochdale AFC,465,SC1
268273,2016-05-30,350000,New York City FC,40058,MLS1
272159,2016-05-30,250000,SV Kapfenberg,413,A1
274984,2016-05-30,200000,SC Wiener Neustadt,17444,
277607,2016-05-30,150000,Floridsdorfer AC,7443,
278092,2016-05-30,175000,Southend United,1110,GB1
278166,2016-05-30,125000,Fleetwood Town,358,
279454,2016-05-30,100000,Swindon Town,31,GB1
281917,2016-05-30,250000,FC Liefering,121,RU1
284847,2016-05-30,500000,Dynamo Moscow II,41201,RU1
285551,2016-05-30,125000,Oldham Athletic,1110,GB1
286596,2016-05-30,125000,FC Liefering,122,A1
287431,2016-05-30,300000,Barnsley FC,931,GB1
287578,2016-05-30,200000,Vancouver Whitecaps FC,6321,MLS1
288323,2016-05-30,50000,Burton Albion,2963,
288710,2016-05-30,1250000,New York Red Bulls,58,BE1
289846,2016-05-30,250000,Barnsley FC,1010,GB1
290271,2016-05-30,250000,Swindon Town,7154,PL1
290388,2016-05-30,450000,Orlando City SC,2029,BRA1
293450,2016-05-30,250000,Coventry City,989,GB1
293569,2016-05-30,200000,Barnsley FC,9840,SA1
294057,2016-05-30,1500000,Coventry City,148,GB1
294701,2016-05-30,250000,Vancouver Whitecaps FC,38,L1
298240,2016-05-30,75000,Coventry City,1003,GB1
305274,2016-05-30,150000,Millwall FC,1028,
306024,2016-05-30,100000,Sheffield United,399,GB1
307094,2016-05-30,75000,Colchester United,43,SC1
307924,2016-05-30,175000,FC Liefering,37024,
321070,2016-05-30,175000,FC Liefering,40058,MLS1
324223,2016-05-30,200000,Barnsley FC,349,
326843,2016-05-30,150000,Peterborough United,3840,TR1
333199,2016-05-30,450000,Orlando City SC,7378,PO1
339556,2016-05-30,500000,Walsall FC,1148,GB1
343463,2016-05-30,1500000,Orlando City SC,45604,MLS1
346175,2016-05-30,50000,Bury FC,2759,SC1
346779,2016-05-30,350000,Sheffield United,416,IT1
348756,2016-05-30,75000,Peterborough United,157,BE1
349820,2016-05-30,300000,FC Liefering,553,GR1
352126,2016-05-30,100000,Swindon Town,987,SC1
354609,2016-05-30,400000,New York City FC,4284,MLS1
354613,2016-05-30,500000,Chicago Fire,626,MLS1
354775,2016-05-30,200000,Vancouver Whitecaps FC,515,
355492,2016-05-30,225000,SV Kapfenberg,6992,UKR1
358948,2016-05-30,100000,Blackpool FC,337,
363223,2016-05-30,250000,Shrewsbury Town,7732,SA1
367255,2016-05-30,250000,SC Austria Lustenau,605,GR1
376856,2016-05-30,50000,Scunthorpe United,2964,
381724,2016-05-30,250000,SV Kapfenberg,16704,RU1
391474,2016-05-30,75000,Fleetwood Town,987,SC1
417346,2016-05-30,150000,New York City FC,430,IT1
425306,2016-05-30,50000,Richmond Kickers,626,MLS1
